repository_full_name,title,number,review_decision,created_at,closed_at,merged_at,merged_by,author,additions,total_comments_count
pagopa/plsm-service-management,Add Certificate Func App,6,APPROVED,2025-09-01T10:18:44Z,2025-09-11T06:16:59Z,2025-09-11T06:16:59Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",893,0
pagopa/plsm-service-management,Infra/update core infra version 2.2.1,26,APPROVED,2025-09-26T07:55:43Z,2025-09-29T09:30:31Z,2025-09-29T09:30:31Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",167,0
pagopa/plsm-service-management,Chore: Add tag release action,9,APPROVED,2025-09-11T06:53:06Z,2025-10-18T11:48:02Z,<nil>,<nil>,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",40,2
pagopa/plsm-service-management,Bugfix: Add required vars,21,REVIEW_REQUIRED,2025-09-12T08:28:13Z,2025-09-12T08:30:27Z,2025-09-12T08:30:26Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",18,0
pagopa/plsm-service-management,fix endpoint,64,REVIEW_REQUIRED,2025-10-09T21:21:20Z,2025-10-09T21:21:29Z,2025-10-09T21:21:29Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",1,0
pagopa/plsm-service-management,Chore: Change from cd to ci env,10,APPROVED,2025-09-11T07:18:00Z,2025-09-11T09:43:17Z,2025-09-11T09:43:16Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",1,0
pagopa/plsm-service-management,Bugfix: Add required vars (#21),22,REVIEW_REQUIRED,2025-09-12T08:32:29Z,2025-09-12T08:32:40Z,2025-09-12T08:32:40Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",18,0
pagopa/plsm-service-management,Bugfix: Add required vars (#21),23,REVIEW_REQUIRED,2025-09-12T08:33:18Z,2025-09-12T08:33:33Z,2025-09-12T08:33:33Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",0,0
pagopa/plsm-service-management,add api,65,REVIEW_REQUIRED,2025-10-09T21:26:14Z,2025-10-09T21:26:22Z,2025-10-09T21:26:22Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",1,0
pagopa/plsm-service-management,fix: update yarn install state,45,APPROVED,2025-10-07T10:05:36Z,2025-10-07T10:06:11Z,2025-10-07T10:06:11Z,"{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}","{""avatar_url"":""https://avatars.githubusercontent.com/u/78347349?u=ee984af632d74d29f79573e85c377b7c420626c0\u0026v=4"",""login"":""LoFrance"",""url"":""https://github.com/LoFrance""}",0,0
