repository_full_name,title,author,created_at,merged_at,number,lead_time_days,"target_authors"
"pagopa/io-messages","[CES-585] Roles management refactoring","Krusty93",2025-02-05T10:31:33Z,2025-02-05T15:18:26Z,93,0.20,"krusty93"
"pagopa/io-messages","feat(infra): alerts for ingestion monitoring","acuiuli",2025-02-07T08:32:41Z,2025-02-13T13:42:48Z,94,6.22,""
"pagopa/io-messages","[CES-728] Switch back to access keys when accessing Storage Accounts","Krusty93",2025-02-07T16:16:25Z,2025-02-10T08:55:59Z,95,2.69,"krusty93"
"pagopa/io-messages","Move citizen-func to Italy North","lucacavallaro",2025-02-10T10:10:07Z,2025-02-10T10:55:36Z,96,0.03,"lucacavallaro"
"pagopa/io-messages","chore: moving cosmosdb trigger setting to the env vars","lucamancosu",2025-02-11T09:06:29Z,2025-02-13T14:09:17Z,97,2.21,""
"pagopa/io-messages","Change connection method to Application Insights in citizen-func","lucacavallaro",2025-02-11T15:10:21Z,2025-02-19T14:07:01Z,98,7.96,"lucacavallaro"
"pagopa/io-messages","fix(infra): add cosmos roles for etl","Garma00",2025-02-12T15:28:29Z,2025-02-12T15:32:58Z,101,0.00,""
"pagopa/io-messages","[CES-741] Add roles to associate subnets and NAT Gateways to GitHub Infra identity","Krusty93",2025-02-12T15:52:25Z,2025-02-12T16:06:46Z,102,0.01,"krusty93"
"pagopa/io-messages","fix(infra): use correct cosmos role","Garma00",2025-02-12T15:59:04Z,2025-02-12T16:04:17Z,103,0.00,""
"pagopa/io-messages","[CES-750] Add roles to allow app deployments to io-p-itn-com-rg-01 from GitHub workflows","Krusty93",2025-02-12T16:04:01Z,2025-02-14T10:26:32Z,104,1.77,"krusty93"
"pagopa/io-messages","fix(etl-func): remove cosmos healthcheck","Garma00",2025-02-12T16:21:59Z,2025-02-12T16:25:46Z,105,0.00,""
"pagopa/io-messages","refactor(infra): add new storage account and table","Garma00",2025-02-14T14:04:53Z,2025-02-18T08:56:44Z,107,3.79,""
"pagopa/io-messages","chore(infra): added event hub roles","acuiuli",2025-02-17T09:11:18Z,2025-02-17T09:42:08Z,108,0.02,""
"pagopa/io-messages","fix(infra): reverted event hub retention to 7 days","acuiuli",2025-02-17T09:57:41Z,2025-02-17T10:01:19Z,109,0.00,""
"pagopa/io-messages","[IOCOM-2129] Move EventHub to domain rg","Krusty93",2025-02-17T15:55:13Z,2025-02-17T16:02:15Z,110,0.00,"krusty93"
"pagopa/io-messages","Move iopitncomst01 to io-p-itn-com-01 resource group","Garma00",2025-02-18T09:07:46Z,2025-02-18T09:47:42Z,111,0.03,""
"pagopa/io-messages","Increase throughput for messages-summary container ","Garma00",2025-02-18T15:10:18Z,2025-02-18T15:36:18Z,112,0.02,""
"pagopa/io-messages","Expose the id of the messages error table in outputs","Garma00",2025-02-19T08:40:15Z,2025-02-19T09:19:48Z,114,0.03,""
"pagopa/io-messages","Replace table id with storage id in role assignment","Garma00",2025-02-19T09:37:50Z,2025-02-19T09:46:35Z,115,0.01,""
"pagopa/io-messages","Fix Message Ingestion alerts","acuiuli",2025-02-19T14:33:28Z,2025-02-20T14:49:11Z,117,1.01,""
"pagopa/io-messages","Remove `function_app_citizen` module","lucacavallaro",2025-02-19T15:30:48Z,2025-02-20T10:02:17Z,119,0.77,"lucacavallaro"
"pagopa/io-messages","Scale down `io-p-itn-msgs-redis-01` from P1 to C2","lucacavallaro",2025-02-19T15:37:12Z,2025-02-20T13:53:14Z,120,0.93,"lucacavallaro"
"pagopa/io-messages","Set keyless CosmosDB connection in `sending-func`","lucacavallaro",2025-02-19T16:03:06Z,2025-02-21T17:15:27Z,121,2.05,"lucacavallaro"
"pagopa/io-messages","Set keyless CosmosDB connection in `citizen-func`","lucacavallaro",2025-02-19T16:29:05Z,2025-02-20T10:02:00Z,122,0.73,"lucacavallaro"
"pagopa/io-messages","Add roles for Infra identities to manage table storage","Krusty93",2025-02-20T09:31:32Z,2025-02-20T10:07:18Z,123,0.02,"krusty93"
"pagopa/io-messages","Add roles for Infra identities to update roles of cosmos-api","Krusty93",2025-02-20T11:01:55Z,2025-02-20T11:06:58Z,125,0.00,"krusty93"
"pagopa/io-messages","Replace role for Infra CD identity to manage roles of cosmos-api","Krusty93",2025-02-20T13:39:09Z,2025-02-20T13:42:28Z,127,0.00,"krusty93"
"pagopa/io-messages","Change `io-p-itn-msgs-redis-01` sku_name","lucacavallaro",2025-02-20T14:08:16Z,2025-02-20T14:54:20Z,129,0.03,"lucacavallaro"
"pagopa/io-messages","Fix citizen-func slot roles to access to CosmosDB","lucacavallaro",2025-02-20T14:23:33Z,2025-02-20T14:45:05Z,131,0.01,"lucacavallaro"
"pagopa/io-messages","Fix `io_com_action_group` data","lucacavallaro",2025-02-20T15:25:20Z,2025-02-20T15:28:51Z,132,0.00,"lucacavallaro"
"pagopa/io-messages","Move alerts to `io-p-itn-com-rg-01`","lucacavallaro",2025-02-20T15:47:28Z,2025-02-20T16:00:45Z,133,0.01,"lucacavallaro"
"pagopa/io-messages","Fix ingestion custom event sampling","acuiuli",2025-02-20T16:40:16Z,2025-02-21T09:33:04Z,134,0.70,""
"pagopa/io-messages","Fix `citizen-func` role assigment","lucacavallaro",2025-02-20T16:55:45Z,2025-02-20T17:00:00Z,135,0.00,"lucacavallaro"
"pagopa/io-messages","Fix `citizen-func` role assigment","lucacavallaro",2025-02-21T09:41:31Z,2025-02-21T09:45:30Z,136,0.00,"lucacavallaro"
"pagopa/io-messages","Add notification hubs permissions and fix etl-func slot roles","acuiuli",2025-02-21T10:05:39Z,2025-02-24T15:09:08Z,137,3.21,""
"pagopa/io-messages","Enable `storage_use_azuread`","lucacavallaro",2025-02-21T15:43:38Z,2025-02-24T08:47:20Z,138,2.71,"lucacavallaro"
"pagopa/io-messages","Fix ingestion bugs","acuiuli",2025-02-21T16:11:15Z,2025-02-24T10:49:07Z,139,2.78,""
"pagopa/io-messages","Reduce `messages-summary` CosmosDB Container RU","acuiuli",2025-02-25T08:54:11Z,2025-02-26T13:58:30Z,145,1.21,""
"pagopa/io-messages","Switch to Application Insights Connection String","lucacavallaro",2025-02-25T16:56:58Z,2025-02-26T08:25:27Z,148,0.64,"lucacavallaro"
"pagopa/io-messages","Fix `message_error_table_storage_uri` setting","acuiuli",2025-02-26T13:14:25Z,2025-02-26T14:15:40Z,151,0.04,""
"pagopa/io-messages","Configure `app-cd` deployment tags","lucacavallaro",2025-02-26T14:29:29Z,2025-02-26T14:40:35Z,152,0.01,"lucacavallaro"
"pagopa/io-messages","Upgrade `repository` terraform dependencies","lucacavallaro",2025-02-26T14:29:47Z,2025-02-26T14:41:12Z,153,0.01,"lucacavallaro"
"pagopa/io-messages","Enable autoscaling for `citizen-func`","lucacavallaro",2025-02-26T15:31:38Z,2025-02-26T16:45:28Z,154,0.05,"lucacavallaro"
"pagopa/io-messages","Add autoscaler to `etl-func`","lucamancosu",2025-02-27T08:36:44Z,2025-02-28T13:48:42Z,155,1.22,""
"pagopa/io-messages","Change messages container and ingestion lease container","lucamancosu",2025-02-27T13:42:01Z,2025-02-28T14:23:40Z,156,1.03,""
"pagopa/io-messages","Remove unused env vars from `etl-func`","lucamancosu",2025-02-27T13:42:19Z,2025-02-28T10:14:06Z,157,0.86,""
"pagopa/io-messages","Set default and minimum instances to 1 for etl autoscaler","Garma00",2025-02-28T14:50:01Z,2025-02-28T14:59:35Z,161,0.01,""
"pagopa/io-messages","Enable etl-func","acuiuli",2025-03-04T15:06:57Z,2025-03-05T08:25:24Z,162,0.72,""
"pagopa/io-messages","Assign roles to new APIM instance","Krusty93",2025-03-05T08:35:49Z,2025-03-05T08:47:56Z,164,0.01,"krusty93"
"pagopa/io-messages","Increase dataplan-ingestion-lease container RU","Garma00",2025-03-05T11:19:15Z,2025-03-05T11:23:25Z,165,0.00,""
"pagopa/io-messages","Update citizen-func autoscaler","lucacavallaro",2025-03-06T11:08:22Z,2025-03-06T14:17:52Z,169,0.13,"lucacavallaro"
"pagopa/io-messages","Update time_window on ingestion alerts","acuiuli",2025-03-06T16:30:19Z,2025-03-07T11:24:46Z,171,0.79,""
"pagopa/io-messages","Define resource instead of using data","Garma00",2025-03-11T11:06:48Z,2025-06-17T08:11:39Z,173,97.88,""
"pagopa/io-messages","Update Azure resource tags to match new convention","Krusty93",2025-03-11T12:23:41Z,2025-03-11T16:44:18Z,174,0.18,"krusty93"
"pagopa/io-messages","Update dx modules","lucacavallaro",2025-03-12T16:05:41Z,2025-03-12T16:13:31Z,178,0.01,"lucacavallaro"
"pagopa/io-messages","Incorporate push notification function","lucamancosu",2025-03-13T14:24:59Z,2025-04-17T08:41:06Z,180,34.76,""
"pagopa/io-messages","Add ops-func","Garma00",2025-03-13T17:02:40Z,2025-04-18T15:42:58Z,181,35.94,""
"pagopa/io-messages","Migrate io-functions-messages-cqrs","acuiuli",2025-03-14T10:34:26Z,2025-05-16T10:12:36Z,182,62.98,""
"pagopa/io-messages","Create `io-p-itn-com-cae-01`","lucacavallaro",2025-03-18T15:46:12Z,2025-03-18T17:07:28Z,183,0.06,"lucacavallaro"
"pagopa/io-messages","Add Container App for premium reminder","Krusty93",2025-04-03T14:35:45Z,2025-04-09T09:29:31Z,187,5.79,"krusty93"
"pagopa/io-messages","Fix KeyVault Access policy for reminder container app","Krusty93",2025-04-09T15:05:00Z,2025-04-09T15:08:56Z,191,0.00,"krusty93"
"pagopa/io-messages","Replace sample with reminder container image","Krusty93",2025-04-11T14:10:40Z,2025-04-14T12:12:00Z,193,2.92,"krusty93"
"pagopa/io-messages","Fix/moving queues outside internal storage","lucamancosu",2025-04-17T13:35:12Z,2025-04-17T14:12:04Z,200,0.03,""
"pagopa/io-messages","Upgrade ops-func tier s -> m","Garma00",2025-04-22T13:39:58Z,2025-04-22T13:53:45Z,208,0.01,""
"pagopa/io-messages","Remove notif-func","lucacavallaro",2025-04-22T14:55:40Z,2025-04-23T08:32:01Z,210,0.73,"lucacavallaro"
"pagopa/io-messages","Use correct cosmosdb name for ops-func","Garma00",2025-04-22T15:15:07Z,2025-04-22T15:17:20Z,211,0.00,""
"pagopa/io-messages","Update ops-com sql role to give RW access to cosmos-api","Garma00",2025-04-23T09:49:24Z,2025-04-23T12:59:10Z,214,0.13,""
"pagopa/io-messages","update dx function app version","lucamancosu",2025-04-23T15:25:59Z,2025-04-23T15:30:50Z,221,0.00,""
"pagopa/io-messages","Updated push notif func dx module","lucamancosu",2025-04-23T15:46:52Z,2025-04-23T15:51:25Z,222,0.00,""
"pagopa/io-messages","Move modules outside of main.tf","Garma00",2025-04-29T08:53:44Z,2025-05-05T08:26:02Z,230,5.98,""
"pagopa/io-messages","Remove unused code","lucamancosu",2025-05-05T07:17:13Z,2025-05-15T07:31:26Z,234,10.01,""
"pagopa/io-messages","Fix cqrs-func cidrs","acuiuli",2025-05-16T11:35:49Z,2025-05-16T12:07:16Z,245,0.02,""
"pagopa/io-messages","Upgrade azurerm provider and remove duplicated Data entry for AI","Krusty93",2025-05-20T08:10:53Z,2025-05-20T08:50:21Z,248,0.03,"krusty93"
"pagopa/io-messages","New push notification queue rollout","lucamancosu",2025-05-22T10:36:07Z,2025-05-23T09:23:16Z,251,0.95,""
"pagopa/io-messages","Use session-manager client to resolve the session in Notify function","Garma00",2025-05-28T12:32:01Z,2025-06-05T13:57:25Z,257,8.06,""
"pagopa/io-messages","Enable message status ingestion","lucamancosu",2025-05-28T13:56:30Z,2025-07-08T08:50:22Z,258,40.79,""
"pagopa/io-messages","Update repo module","lucacavallaro",2025-05-29T09:55:16Z,2025-05-29T10:02:35Z,259,0.01,"lucacavallaro"
"pagopa/io-messages","Add domain key vault","Garma00",2025-05-29T15:01:30Z,2025-06-05T10:29:47Z,260,6.81,""
"pagopa/io-messages","Remove redundant permission to io-p-itn-com-rg-01","Garma00",2025-05-30T09:59:47Z,2025-05-30T10:27:12Z,261,0.02,""
"pagopa/io-messages","Update README files for infra modules","Garma00",2025-05-30T13:28:30Z,2025-05-30T14:08:55Z,262,0.03,""
"pagopa/io-messages","Switch to the new push notification queue","lucamancosu",2025-05-30T14:33:35Z,2025-06-05T09:24:39Z,263,5.79,""
"pagopa/io-messages","Add a new redis inside io-p-itn-com-rg-01","lucamancosu",2025-06-03T13:52:44Z,2025-06-05T10:37:45Z,264,1.86,""
