repository_full_name,title,author,created_at,merged_at,number,lead_time_days,"target_authors"
"pagopa/io-wallet","[SIW-1479] Added APIM policies","silvicir",2024-11-07T14:38:27Z,2024-11-08T07:40:43Z,273,0.71,""
"pagopa/io-wallet","fix: [SIW-1479] Updated policy resource name","silvicir",2024-11-08T09:24:59Z,2024-11-08T09:28:34Z,274,0.00,""
"pagopa/io-wallet","feat: [SIW-1817] Add Wallet Instance attested key validation event based","grausof",2024-11-08T12:26:18Z,2024-11-11T14:18:56Z,275,3.08,""
"pagopa/io-wallet","chore: make storage private","grausof",2024-11-11T14:22:07Z,2024-11-12T14:12:17Z,281,0.99,""
"pagopa/io-wallet","[SIW-1820] Updated error handling in APIM policy","silvicir",2024-11-11T16:14:52Z,2024-11-14T07:43:30Z,282,2.64,""
"pagopa/io-wallet","feat: Add slack message on wallet instance revocation","grausof",2024-11-12T11:22:57Z,2024-11-12T11:46:24Z,283,0.02,""
"pagopa/io-wallet","[CES-499] Migrate Container App job to Italy North","Krusty93",2024-11-12T13:29:50Z,2024-11-12T13:32:31Z,284,0.00,"krusty93"
"pagopa/io-wallet","[CES-505] Move Cosmos DB secondary region to Spain Central","Krusty93",2024-11-12T16:00:56Z,2024-11-13T08:24:33Z,285,0.68,"krusty93"
"pagopa/io-wallet","fix: Create leases container","grausof",2024-11-13T15:43:31Z,2024-11-13T15:55:47Z,287,0.01,""
"pagopa/io-wallet","feat: Add `RevocationReason` to support function","grausof",2024-11-13T18:00:20Z,2024-11-14T08:52:24Z,290,0.62,""
"pagopa/io-wallet","feat: [SIW-1775] Added getWalletInstanceStatus endpoint","silvicir",2024-11-14T16:03:04Z,2024-11-14T16:16:53Z,293,0.01,""
"pagopa/io-wallet","chore: [SIW-1836] Enabling IPZS Healthcheck","christianatzeni",2024-11-15T15:26:47Z,2024-11-15T15:31:33Z,296,0.00,""
"pagopa/io-wallet","[CES-526] Add user-assigned managed identity to federate with PSN","Krusty93",2024-11-21T16:19:26Z,2024-11-21T16:24:21Z,299,0.00,"krusty93"
"pagopa/io-wallet","[CES-526] Add lock to Id federated with PSN and update Id name","Krusty93",2024-11-22T08:26:13Z,2024-11-22T08:31:58Z,300,0.00,"krusty93"
"pagopa/io-wallet","[CES-529] Add database and containers to Cosmos 02","Krusty93",2024-11-22T12:22:09Z,2024-11-22T12:26:50Z,301,0.00,"krusty93"
"pagopa/io-wallet","feat: [SIW-1857] Added migrateWalletInstances function","silvicir",2024-11-25T11:30:35Z,2024-11-25T14:38:22Z,302,0.13,""
"pagopa/io-wallet","[CES-538] Create leases container only for cosno-01","Krusty93",2024-11-25T13:59:27Z,2024-11-25T14:20:41Z,303,0.01,"krusty93"
"pagopa/io-wallet","[CES-550] Add IAM roles and alerts on cosmos 02","Krusty93",2024-11-25T16:19:34Z,2024-11-26T08:31:22Z,312,0.67,"krusty93"
"pagopa/io-wallet","chore: [SIW-1857] Removed migrateWalletInstances function","silvicir",2024-11-26T07:25:39Z,2024-11-26T18:34:27Z,313,0.46,""
"pagopa/io-wallet","[SIW-1857] Change cosmosdb var","silvicir",2024-11-26T08:30:40Z,2024-11-26T08:43:25Z,314,0.01,""
"pagopa/io-wallet","[CES-556] Replicate queue storage to process Cosmos 02 change feed","Krusty93",2024-11-26T13:20:41Z,2024-11-26T13:38:51Z,316,0.01,"krusty93"
"pagopa/io-wallet","[CES-557] Add new lease container to Cosmos 02","Krusty93",2024-11-26T13:47:29Z,2024-11-26T13:52:58Z,317,0.00,"krusty93"
"pagopa/io-wallet","[SIW-1857] Disable functions in staging slot","silvicir",2024-11-27T08:56:52Z,2024-11-27T16:09:57Z,319,0.30,""
"pagopa/io-wallet","[SIW-1560] Send an email when the Wallet Instance is created by the user","christianatzeni",2024-11-28T09:03:30Z,2024-12-18T11:05:05Z,322,20.08,""
