repository_full_name,title,author,created_at,merged_at,number,lead_time_days,"target_authors"
"pagopa/selfcare-infra","Feat: Refactor for copy template contracts to storage","andrea-putzu",2024-07-25T13:45:51Z,2024-07-25T15:27:09Z,754,0.07,""
"pagopa/selfcare-infra","[SELC-5437] feat: add csv templates for aggegators","giulia-tremolada",2024-09-04T15:41:11Z,2024-09-06T07:37:36Z,763,1.66,""
"pagopa/selfcare-infra","[SELC-5494] feat: Fixed data into template pagopa-prv","giampiero-ferrara",2024-10-03T12:52:26Z,2024-10-04T08:55:31Z,778,0.84,""
"pagopa/selfcare-infra","[SELC-5580] Update repository infra configuration ","andrea-putzu",2024-10-08T15:35:29Z,2024-10-08T15:45:13Z,782,0.01,""
"pagopa/selfcare-infra","fix: forward alert check validate certificate to /external/status","manuraf",2024-10-15T13:52:10Z,2024-10-15T14:40:26Z,788,0.03,""
"pagopa/selfcare-infra","[SELC-5477] Added selfcare-login-frontend repository into identities and updated modules to v8.49.1 ","mamu0",2024-10-15T15:51:38Z,2024-10-16T08:43:29Z,790,0.70,"mamu0"
"pagopa/selfcare-infra"," BREAKING CHANGE: merge develop branch to main","manuraf",2024-10-16T15:05:32Z,2024-10-17T08:22:28Z,791,0.72,""
